KHUNG CHƯƠNG TRÌNH ĐÀO TẠO K30 CNTT - ĐẠI HỌC VĂN LANG
Nguồn: file Excel Khung CTĐT K30 CNTT (2025-08-21)
Tổng số học phần trong dữ liệu: 87

QUY ƯỚC:
- Điều kiện tiên quyết: phải đạt môn trước khi đăng ký môn hiện tại.
- Điều kiện học trước: môn yêu cầu/nên hoàn thành trước theo khung CTĐT.
- BB: bắt buộc; TC/TCxxx: tự chọn hoặc nhóm tự chọn.

71PEGO10092 | Golf |  | 2 TC | TC102 (2TC) | Nhóm: Giáo dục thể chất và giáo dục quốc phòng | Chuyên ngành: Chung | Năm 1 | HK 3 | Tiên quyết: Không | Học trước: Không
71PEMA10132 | Võ thuật |  | 2 TC | TC102 (2TC) | Nhóm: Giáo dục thể chất và giáo dục quốc phòng | Chuyên ngành: Chung | Năm 1 | HK 3 | Tiên quyết: Không | Học trước: Không
71PEMT10152 | Marathon |  | 2 TC | TC102 (2TC) | Nhóm: Giáo dục thể chất và giáo dục quốc phòng | Chuyên ngành: Chung | Năm 1 | HK 3 | Tiên quyết: Không | Học trước: Không
71PESC10112 | Leo núi thể thao |  | 2 TC | TC102 (2TC) | Nhóm: Giáo dục thể chất và giáo dục quốc phòng | Chuyên ngành: Chung | Năm 1 | HK 3 | Tiên quyết: Không | Học trước: Không
71PESS10162 | Bắn súng thể thao |  | 2 TC | TC102 (2TC) | Nhóm: Giáo dục thể chất và giáo dục quốc phòng | Chuyên ngành: Chung | Năm 1 | HK 3 | Tiên quyết: Không | Học trước: Không
71PETE10122 | Tennis |  | 2 TC | TC102 (2TC) | Nhóm: Giáo dục thể chất và giáo dục quốc phòng | Chuyên ngành: Chung | Năm 1 | HK 3 | Tiên quyết: Không | Học trước: Không
71PETT10012 | Bóng bàn |  | 2 TC | TC102 (2TC) | Nhóm: Giáo dục thể chất và giáo dục quốc phòng | Chuyên ngành: Chung | Năm 1 | HK 3 | Tiên quyết: Không | Học trước: Không
71PEVB10022 | Bóng chuyền |  | 2 TC | TC102 (2TC) | Nhóm: Giáo dục thể chất và giáo dục quốc phòng | Chuyên ngành: Chung | Năm 1 | HK 3 | Tiên quyết: Không | Học trước: Không
71NAD110013 | GDQP1: Đường lối QP và AN của ĐCSVN |  | 3 TC | BBKTL | Nhóm: Giáo dục thể chất và giáo dục quốc phòng | Chuyên ngành: Chung | Năm 1 | HK 1 | Tiên quyết: Không | Học trước: Không
71NAD210022 | GDQP2: Công tác quốc phòng và an ninh |  | 2 TC | BBKTL | Nhóm: Giáo dục thể chất và giáo dục quốc phòng | Chuyên ngành: Chung | Năm 1 | HK 1 | Tiên quyết: Không | Học trước: Không
71NAD310032 | GDQP3: Quân sự chung |  | 2 TC | BBKTL | Nhóm: Giáo dục thể chất và giáo dục quốc phòng | Chuyên ngành: Chung | Năm 1 | HK 1 | Tiên quyết: Không | Học trước: Không
71NAD410044 | GDQP4: Kỹ thuật chiến đấu bộ binh và chiến thuật |  | 4 TC | BBKTL | Nhóm: Giáo dục thể chất và giáo dục quốc phòng | Chuyên ngành: Chung | Năm 1 | HK 1 | Tiên quyết: Không | Học trước: Không
71ITBS10103 | Nhập môn Công nghệ thông tin | Introduction to Information Technology | 3 TC | BB | Nhóm: Kiến thức cơ sở khối ngành | Chuyên ngành: Chung | Năm 1 | HK 1 | Tiên quyết: Không | Học trước: Không
71ITBS10203 | Cơ sở lập trình | Programming Basics | 3 TC | BB | Nhóm: Kiến thức cơ sở khối ngành | Chuyên ngành: Chung | Năm 1 | HK 1 | Tiên quyết: Không | Học trước: Không
71ITIS30103 | Cơ sở dữ liệu | Databases | 3 TC | BB | Nhóm: Kiến thức cơ sở khối ngành | Chuyên ngành: Chung | Năm 1 | HK 3 | Tiên quyết: Không | Học trước: Không
71ITNW30103 | Nhập môn Mạng máy tính và điện toán đám mây | Introduction to Computer Networks and Cloud Computing | 3 TC | BB | Nhóm: Kiến thức cơ sở khối ngành | Chuyên ngành: Chung | Năm 1 | HK 2 | Tiên quyết: Không | Học trước: Không
71ITSE30303 | Cấu trúc dữ liệu và giải thuật | Data Structures and Algorithms | 3 TC | BB | Nhóm: Kiến thức cơ sở khối ngành | Chuyên ngành: Chung | Năm 1 | HK 3 | Tiên quyết: Không | Học trước: [71ITBS10203]Cơ sở lập trình
71ITMA10404 | Toán rời rạc | Discrete Mathematics | 4 TC | BB | Nhóm: Kiến thức cơ sở khối ngành | Chuyên ngành: Chung | Năm 2 | HK 1 | Tiên quyết: Không | Học trước: [71ITMA10104]Toán cao cấp và ứng dụng
71ITSE30103 | Kỹ thuật lập trình | Programming Techniques | 3 TC | BB | Nhóm: Kiến thức cơ sở khối ngành | Chuyên ngành: Chung | Năm 1 | HK 2 | Tiên quyết: Không | Học trước: [71ITBS10203]Cơ sở lập trình
71ITSE30203 | Lập trình hướng đối tượng | Object-Oriented Programming | 3 TC | BB | Nhóm: Kiến thức cơ sở ngành | Chuyên ngành: Chung | Năm 2 | HK 1 | Tiên quyết: Không | Học trước: [71ITBS10203]Cơ sở lập trình
71ITDS30103 | Các nền tảng phát triển phần mềm | Software Development Platforms | 3 TC | BB | Nhóm: Kiến thức cơ sở ngành | Chuyên ngành: Chung | Năm 2 | HK 2 | Tiên quyết: Không | Học trước: [71ITBS10103]Nhập môn Công nghệ thông tin
71ITSE30503 | Lập trình ứng dụng Web | Web Application Programming | 3 TC | BB | Nhóm: Kiến thức cơ sở ngành | Chuyên ngành: Chung | Năm 2 | HK 1 | Tiên quyết: Không | Học trước: [71ITBS10203]Cơ sở lập trình
71ITAI40103 | Nhập môn Trí tuệ nhân tạo | Introduction to Artificial Intelligence | 3 TC | BB | Nhóm: Kiến thức cơ sở ngành | Chuyên ngành: Chung | Năm 2 | HK 3 | Tiên quyết: Không | Học trước: [71ITBS10203]Cơ sở lập trình
71ITDS30203 | Nhập môn Phân tích Dữ liệu và Học sâu | Introduction to Data Analytics and Deep Learning | 3 TC | TC209 | Nhóm: Kiến thức cơ sở ngành | Chuyên ngành: Chung | Năm 2 | HK 3 | Tiên quyết: Không | Học trước: Không
71ITDS40203 | Xác xuất thống kê ứng dụng | Applicable Probability and Statistics | 3 TC | TC209 | Nhóm: Kiến thức cơ sở ngành | Chuyên ngành: Chung | Năm 2 | HK 2 | Tiên quyết: Không | Học trước: [71ITMA10404]Toán rời rạc
71ITSE30403 | Lập trình ứng dụng Java | Java Application Programming | 3 TC | TC209 | Nhóm: Kiến thức cơ sở ngành | Chuyên ngành: Chung | Năm 2 | HK 2 | Tiên quyết: Không | Học trước: [71ITSE30103]Kỹ thuật lập trình
71NWSE40103 | Nhập môn hệ thống nhúng | Foundation of Embedded System | 3 TC | TC209 | Nhóm: Kiến thức cơ sở ngành | Chuyên ngành: Chung | Năm 2 | HK 3 | Tiên quyết: Không | Học trước: Không
71ISBC30103 | Nhập môn Hệ thống thông tin | Introduction to Information Systems | 3 TC | TC209 | Nhóm: Kiến thức cơ sở ngành | Chuyên ngành: Chung | Năm 2 | HK 2 | Tiên quyết: Không | Học trước: [71ITBS10103]Nhập môn Công nghệ thông tin
71ITNW30303 | An ninh Mạng máy tính | Network Security | 3 TC | TC209 | Nhóm: Kiến thức cơ sở ngành | Chuyên ngành: Chung | Năm 2 | HK 2 | Tiên quyết: Không | Học trước: Không
71ITIS30303 | Quản lý Dự án Công nghệ Thông tin | IT Project Management | 3 TC | TC209 | Nhóm: Kiến thức cơ sở ngành | Chuyên ngành: Chung | Năm 2 | HK 2 | Tiên quyết: Không | Học trước: Không
71ITSE30903 | Thiết kế giao diện người dùng | User Interface Design | 3 TC | TC209 | Nhóm: Kiến thức cơ sở ngành | Chuyên ngành: Chung | Năm 2 | HK 3 | Tiên quyết: Không | Học trước: Không
71ITSE41003 | Nhập môn Công nghệ phần mềm | Introduction to Software Technology | 3 TC | BB | Nhóm: Kiến thức chuyên ngành hoặc chuyên sâu | Chuyên ngành: Công nghệ Phần mềm | Năm 2 | HK 3 | Tiên quyết: Không | Học trước: Không
71ITSE41103 | Kỹ thuật lấy yêu cầu | Requirements Engineering | 3 TC | BB | Nhóm: Kiến thức chuyên ngành hoặc chuyên sâu | Chuyên ngành: Công nghệ Phần mềm | Năm 3 | HK 1 | Tiên quyết: Không | Học trước: [71ITSE41003]Nhập môn Công nghệ phần mềm
71ITSE41203 | Kiểm thử phần mềm | Software Testing | 3 TC | BB | Nhóm: Kiến thức chuyên ngành hoặc chuyên sâu | Chuyên ngành: Công nghệ Phần mềm | Năm 3 | HK 1 | Tiên quyết: Không | Học trước: [71ITSE41003]Nhập môn Công nghệ phần mềm
71ITSE41303 | Phân tích và thiết kế hệ thống theo Hướng đối tượng | Object Oriented Analysis and Design | 3 TC | BB | Nhóm: Kiến thức chuyên ngành hoặc chuyên sâu | Chuyên ngành: Công nghệ Phần mềm | Năm 3 | HK 2 | Tiên quyết: Không | Học trước: [71ITSE41103]Kỹ thuật lấy yêu cầu
71ITSE41403 | Lập trình Web nâng cao | Advanced Web Programming | 3 TC | BB | Nhóm: Kiến thức chuyên ngành hoặc chuyên sâu | Chuyên ngành: Công nghệ Phần mềm | Năm 3 | HK 2 | Tiên quyết: Không | Học trước: [71ITSE30503]Lập trình ứng dụng Web
71ITSE41503 | Quản lý dự án phần mềm | Software Project Management | 3 TC | BB | Nhóm: Kiến thức chuyên ngành hoặc chuyên sâu | Chuyên ngành: Công nghệ Phần mềm | Năm 3 | HK 2 | Tiên quyết: Không | Học trước: [71ITSE41003]Nhập môn Công nghệ phần mềm
71ITDS40303 | Nhập môn Phân tích Dữ liệu lớn | Introduction to BigData Analytics | 3 TC | BB | Nhóm: Kiến thức chuyên ngành hoặc chuyên sâu | Chuyên ngành: Công nghệ Dữ liệu | Năm 2 | HK 3 | Tiên quyết: Không | Học trước: Không
71ITAI40203 | Nhập môn học máy | Introduction to Machine Learning | 3 TC | BB | Nhóm: Kiến thức chuyên ngành hoặc chuyên sâu | Chuyên ngành: Công nghệ Dữ liệu | Năm 3 | HK 1 | Tiên quyết: Không | Học trước: [71ITDS40203]Xác xuất thống kê ứng dụng
71ITAI40303 | Các hệ hỗ trợ ra quyết định | Decision Support Systems | 3 TC | BB | Nhóm: Kiến thức chuyên ngành hoặc chuyên sâu | Chuyên ngành: Công nghệ Dữ liệu | Năm 3 | HK 1 | Tiên quyết: Không | Học trước: Không
71ITDS40403 | Số hóa và quản trị thông tin số | Information Digitization and Management | 3 TC | BB | Nhóm: Kiến thức chuyên ngành hoặc chuyên sâu | Chuyên ngành: Công nghệ Dữ liệu | Năm 3 | HK 2 | Tiên quyết: Không | Học trước: Không
71ITAI40903 | Lập trình tính toán song song | Parallel Computational Programming | 3 TC | BB | Nhóm: Kiến thức chuyên ngành hoặc chuyên sâu | Chuyên ngành: Công nghệ Dữ liệu | Năm 3 | HK 2 | Tiên quyết: Không | Học trước: [71ITSE30303]Cấu trúc dữ liệu và giải thuật
71ITDS40503 | Mã hóa dữ liệu và chuỗi khối (Block chain) | Data Encryption and Security | 3 TC | BB | Nhóm: Kiến thức chuyên ngành hoặc chuyên sâu | Chuyên ngành: Công nghệ Dữ liệu | Năm 3 | HK 2 | Tiên quyết: Không | Học trước: [71ITIS30103]Cơ sở dữ liệu
